case_id,company_id,filters_json,bid_notice_id,message,notice_relevance,chunk_id,l_topic,page_no,content,chunk_relevance,dense_rank,bm25_rank,rrf_rank,retrieved_by,notes,auto_chunk_relevance,auto_confidence,auto_matched_terms,auto_reason,review_priority,review_reason,final_chunk_relevance,reviewer_notes
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2875,개요,,"<table>
  <tr><th>순 번</th><th>구 분</th><th>사 양</th><th>설치년도</th></tr>
  <tr><td>1</td><td>WAS</td><td>Websphere 8.5.5 (IBM)</td><td>2014</td></tr>
  <tr><td>2</td><td>프레임워크</td><td>Proworks, Websquare (인스웨이브)</td><td>2021</td></tr>
  <tr><td>3</td><td>DBMS</td><td>Informix 12.10 (IBM)</td><td>2011</td></tr>
  <tr><td>4</td><td>리포팅</td><td>OZ report (포시에스)</td><td>2017</td></tr>
  <tr><td>5</td><td>포털</td><td>EIP3.0 지능형 포털 (프레임워크 : Proworks5)</td><td>2022</td></tr>
  <tr><td>6</td><td>사용자관리</td><td>yullin-ldap</td><td>2020</td></tr>
  <tr><td>7</td><td>챠트</td><td>rMateChart(리트모아소프트)</td><td>2011</td></tr>
  <tr><td>8</td><td>통합검색</td><td>마리너 (다이퀘스트)</td><td>2023</td></tr>
  <tr><td>9</td><td>지능형 플랫폼</td><td>D-플랫폼 (다이퀘스트)</td><td>2022</td></tr>
  <tr><td>10</td><td>SSO, 인증관리</td><td>KsignCASE for Web (케이사인)<br>KSignAccess for SSO Server<br>KSignAccess for SSO Agent</td><td>2011</td></tr>
  <tr><td>11</td><td>전자결재</td><td>FlowControl BPM (플로우컨트롤)</td><td>2022</td></tr>
  <tr><td>12</td><td>DB 모델링</td><td>DA# (엔코아)</td><td>2011</td></tr>
  <tr><td>13</td><td>응용서버모니터링</td><td>JENNIFER5 (제니퍼)</td><td>2014</td></tr>
  <tr><td>14</td><td>PDF 변환기</td><td>PDF GateWay (ePapyrus)</td><td>2017</td></tr>
  <tr><td>15</td><td>PDF 뷰어</td><td>StreamDocs (ePapyrus)</td><td>2017</td></tr>
  <tr><td>16</td><td>형상관리 시스템</td><td>Git/Jenkins</td><td>2025</td></tr>
  <tr><td>17</td><td>문서뷰어</td><td>사이냅 문서뷰어 (사이냅)</td><td>2022</td></tr>
  <tr><td>18</td><td>문서유통시스템</td><td>엑스클릭 (비즈웰)</td><td>2021</td></tr>
  <tr><td>19</td><td>원규관리 시스템</td><td>규정관리 시스템 (엠텐)</td><td>2022</td></tr>
  <tr><td>20</td><td>모바일앱</td><td>Mthink (데이터뱅크)</td><td>2022</td></tr>
  <tr><td>21</td><td>Cerobro</td><td>RAG, AI모델관리 (아이브릭스)</td><td>2025</td></tr>
</table>",,1,,18,"dense,rrf",,3,medium,rag | dbms | 통합검색,회사 NLP/RAG 핵심역량과 직접 연결되는 표현이 확인됨,P0,"관련도 2·3 초안, 검색 상위 10",1,2차 전수검증 확정: 현행 장비·구성도 목록으로 구현 핵심 요구가 아님; 근거=순 번 구 분 사 양 설치년도
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2931,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>기능 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>SFR-009</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>지능형 질의응답 고도화 체계 구축</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>에이전트 오케스트레이션 기반 지능형 질의응답 고도화 체계 구축</td></tr>
<tr><td>세부<br>내용</td><td>○ Agent 기반 질의 분석 및 계획 수립<br>- 사용자의 질의를 분석하여 질의에 대한 의도와 목적을 분석하여 최적의 처리 경로와 답변을 제공해야 한다.<br>- 복합적인 추론이 필요한 질의는 이를 해결하기 위한 하위 태스크로 나누고 실행 순서를 정의하는 태스크 계획(Task Planning) 수립 기능을 제공해야 한다.<br>○ 도메인 특화 에이전트(Domain Agent)<br>- 질문 성격에 따라 일반행정, 연구과제, 전문가 정보, 특허 등 도메인별 전문 에이전트를 동적으로 호출하여 독립적인 태스크를 수행시켜야 한다.<br>- 각 에이전트는 담당 영역의 지식과 연동되어 전문성 높은 개별 답변 데이터를 도출해야 한다.<br>○ 질문 난이도에 따른 맞춤형 처리<br>- 쉬운 질문은 즉시 답변하여 속도를 높이고, 어려운 질문은 '질문 분해 → 개별 처리 → 답변 합치기' 과정을 거쳐 꼼꼼하게 답변해야 한다.<br>- 한 질문 안에 여러 요청 사항이 섞여 있어도, 빠뜨리는 내용 없이 항목별로 정리하여 답변을 재구성해야 한다.<br>○ 관련하여 분석/설계 단계에서 사용자 요구사항을 수집/분석하여<br>최적화된 시스템을 제시 개발해야 한다.</td></tr>
<tr><td colspan=""2"">산출정보</td><td>단계별 산출물</td></tr>
</table>",,11,6,1,"dense,bm25,rrf",,3,high,질의응답 | 에이전트 오케스트레이션 | 도메인 특화 에이전트,회사 NLP/RAG 핵심역량과 프로젝트 수행근거가 함께 확인됨,P0,"관련도 2·3 초안, 검색 상위 10",3,2차 전수검증 확정: NLP·RAG·LLM·대화형 업무지원 역량과 직접 연결되는 핵심 내용; 근거=질의응답 | 에이전트 | agent 기반
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2959,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>테스트 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>TER-006</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>시스템 테스트</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>시스템이 정의된 성능 목표치를 만족시키는가를 평가하기 위해 완전히 통합된 시스템을 대상으로 시스템 성능을 점검하는 테스트(보안, 성능, 장애, 가용성, 스트레스 등)를 수행</td></tr>
<tr><td>세부<br>내용</td><td>○ 시스템 테스트 수행 준비<br>- 테스트 항목 및 상세 수행방법 등을 발주기관과 사전 협의를 통해 정의하고 이를 확인하기 위한 시나리오 작성<br>○ 시스템 테스트 실시 유형 및 수행<br>- 성능 테스트 : 소프트웨어의 효율성을 테스트하는 것으로 응답속도, 처리량, 처리속도 등을 검증<br>- 연계 테스트 : 사업자는 각 시스템간 연계, 외부기관 연계에 대한 상세 테스트 사례와 방안을 작성하여 제출<br>- 대용량 데이터 테스트 : 구축된 시스템이 대량의 데이터 처리가 가능한지 검증<br>- 가용성 테스트 : 신규 시스템 등을 고려하여 서버 이중화 등 정상적 작동 검증<br>- 스트레스 테스트 : 시스템 집중 부하 견딜 수 있는 정도 검증<br>- 보안 테스트 : 외부로부터의 공격 등 보안상 취약점이 없는지 검증<br>- 호환성 테스트 : 다양한 사용자환경에 부합하도록 다양한 OS (Window11 등), 다양한 브라우저(크롬, MS IE/Edge, 등)에서의 정상적 작동 검증<br>- 시스템 테스트 결과 보고서를 제출하여 발주기관의 승인을 받아야 함<br>○ 사업자는 테스트 수행 시 대상 분야 전문가를 추가 투입 및 검증된 전문소프트웨어를 사용하여 수행하며, 소요되는 비용은 사업자가 부담함</td></tr>
<tr><td colspan=""2"">산출정보</td><td>시스템 테스트 계획서, 결과서</td></tr>
</table>",,56,1,10,"dense,bm25,rrf",,0,high,,회사 프로필·성공 프로젝트와 직접 연결되는 근거를 찾지 못함,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=테스트 요구사항
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2938,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>성능 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>PER-002</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>시스템 업무 응답시간</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>시스템 업무 응답시간 목표 정의</td></tr>
<tr><td>세부<br>내용</td><td>○ 시스템 업무 응답시간 목표 정의<br>- 일반적인 데이터 조회는 3초 이내 그 결과를 사용자 화면에 전시해야 함<br>- 단, 대량의 데이터 처리가 필요한 경우는 요구사항에서 제외<br>- 데이터분석의 성능 목표 기준을 협의하여 정의하고 준용<br>- 적정 응답시간, 기준 데이터는 발주기관과 협의하여 조정 가능</td></tr>
<tr><td colspan=""2"">산출정보</td><td>성능 시험 계획서/결과서</td></tr>
</table>",,3,26,2,"dense,bm25,rrf",,0,high,,회사 프로필·성공 프로젝트와 직접 연결되는 근거를 찾지 못함,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=성능 요구사항
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2963,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>보안 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>SER-001</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>관리적·기술적 보안</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>관리적·기술적 보안 요구사항</td></tr>
<tr><td>세부<br>내용</td><td>○ 보안체계 확립을 위한 보안 관련 법령·기준·지침 및 가이드라인 준수<br>- 개인정보 보호법 (행정안전부)<br>- 개인정보의 기술적·관리적 보호조치 기준 (개인정보보호위원회)<br>- 국가정보보안기본지침 (국가정보원)<br>- 행정기관 및 공공기관 정보시스템 구축·운영 지침 (행정안전부)<br>- 국가 공공기관 용역업체 보안·관리 가이드라인 (국가정보원)<br>- 국가 공공기관 클라우드 컴퓨팅 보안가이드라인 (국가정보원)<br>- 국가 공공기관 빅데이터 보안가이드라인 (국가정보원)<br>- 국가 공공기관 모바일활용 보안가이드라인 (국가정보원)<br>- 소프트웨어개발 보안 가이드 (행정안전부)<br>- 국가 공공기관 인공지능시스템 도입ㆍ운영 관련 정보보안 고려사항 (국가정보원) 등<br>○ 보안체계 확립에 적합한 계획 수립 및 구체적 방안 제시<br>- 본 사업 수행 중 「보안성 검토」 지적사항에 대한 보안대책 수립, 적용 방안 제시 및 조치<br>- 사업수행 과정에서 발생할 수 있는 개인정보 노출, 중요 데이터 유출 등의 보안사고 방지 및 대응을 위한 정보보호계획 수립·제시<br>- 개인정보 등의 기술적·관리적 보호조치 방안 제시<br>※ 예, 고유식별정보, 민감정보 등을 표시하는 화면에서 웹브라우저의 뒤로 가기(Back) 버튼으로 기존 정보가 보이지 않도록 조치하고 개인정보의 출력, 다운로드 등의 처리 시 개인정보처리 단말기에 임시파일이 저장되지 않도록 조치<br>- 해킹 등 전자적 침해행위에 대한 보안대책 수립 및 운영<br>· 전자적 침해행위에 기인한 사고를 방지하기 위해 수립된 보안대책에 따른 주기적인 점검<br>· 전자적 침해행위에 대비한 운영체계 및 응용프로그램의 긴급/중요 패치 등 적시에 실시<br>· 전자적 침해행위에 의한 피해 발생 시 즉시 대처할 수 있도록 비상연락망 및 대응체계 수립<br>· 시스템에 대한 보안정책의 승인·적용, 등록, 변경 및 삭제에 대한 이력을 기록·보관<br>※ 예, 비정상적인 접근방지를 위하여 동시 접속 제한, 관리자 로그인 시 알림 기능<br>○ 보안체계 확립에 적합한 장비 제시<br>- 보안관련 제품 도입의 경우 「보안적합성 검증」을 위한 보안대책 수립 및 검증 결과에 대한 적용 방안 제시<br>※ 정보보호제품 사전인증 및 검증필 암호 모듈 필수 탑재 제품은 도입 전 선검증제 적용<br>※ 검증필 암호 모듈 필수 탑재 제품 : SSO, 문서암호화, DB암호화, 디스크/파일 암호화, 구간 암호화, 메일 암호화, 하드웨어 보안토큰, 기타 암호화 제품 등</td></tr>
<tr><td colspan=""2"">산출정보</td><td>사업수행계획서, 보안점검결과서, 보안대책서</td></tr>
</table>",,50,2,13,"dense,bm25,rrf",,1,medium,정보시스템 | 시스템 구축 | 응용프로그램,일반적인 SI 수행역량만 부분적으로 관련됨,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=보안 요구사항
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,3029,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>프로젝트 지원 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>PSR-010</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>시스템 운영·관리 업무 효율화 지원</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>시스템 운영·관리 업무 현황 분석을 통한 효율화 방안 지원</td></tr>
<tr><td>세부<br>내용</td><td>○ 각 기관 시스템 운영·관리 현황 분석<br>- 시스템 운영·관리 조직 및 인력 현황 분석<br>- 플랫폼 서비스 제공을 위한 신규 및 추가 업무(량) 식별<br>- 시스템 운영을 위한 현행 및 미래 IT 업무량 및 운영 인력 비교 분석<br>- IT 업무 및 조직 현황 분석을 통한 주요 이슈 및 시사점 도출<br>○ 시스템 운영·관리 업무 효율화 방안 제시<br>- 시스템 운영을 위한 IT 변화업무 식별 및 필요역량 제시<br>- 시스템 운영·관리를 위한 분야별 적정 인력 산정<br>• 각 기관별 운영·관리 조직 규모 및 아웃소싱 조직을 고려한 합리적 인원 구성방안 제시<br>• 향후 시스템 운영을 위한 업무(량) 및 인력(량) 산정 시, 근거자료로 활용 가능하여야 함<br>- 시스템 운영·유지관리를 위한 운영가이드 및 절차서 작성<br>* (현행 유지관리 절차서 예시) CSR 처리, 변경검토, 릴리즈, 장애처리, 구성관리, DB변경관리, 인프라변경관리, 암호화키관리, 백업관리, 가용성관리, 용량관리, 품질보증절차, 교육관리, 리스크관리, 위기상황 대응 절차서 등</td></tr>
<tr><td colspan=""2"">산출정보</td><td>각종 보고서, 홍보기안</td></tr>
</table>",,2,31,5,"dense,bm25,rrf",,0,high,,회사 프로필·성공 프로젝트와 직접 연결되는 근거를 찾지 못함,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=프로젝트 지원 요구사항
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2939,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>성능 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>PER-003</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>시스템 분석업무 응답시간</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>시스템 분석업무 응답시간 목표 정의</td></tr>
<tr><td>세부<br>내용</td><td>○ 시스템 분석업무 응답시간<br>- 온라인 운영업무 중 데이터 수정이 발생하는 배치업무에 대해 3분 내 그 결과를 화면에 전시해야 함<br>- 단, 대량의 데이터 처리가 필요한 경우는 요구사항에서 제외<br>- 적정 응답시간, 기준 데이터는 발주기관과 협의하여 조정 가능</td></tr>
<tr><td colspan=""2"">산출정보</td><td>성능 시험 계획서/결과서</td></tr>
</table>",,4,28,3,"dense,bm25,rrf",,0,high,,회사 프로필·성공 프로젝트와 직접 연결되는 근거를 찾지 못함,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=성능 요구사항
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2945,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>데이터 요구사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>DAR-001</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>데이터 표준화</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>코드, 단어, 용어, 데이터 도메인, 메타데이터 등의 표준을 수립하여 데이터베이스에 일관되게 적용</td></tr>
<tr><td>세부<br>내용</td><td>○ 데이터 표준 원칙 및 가이드 수립<br>- 운용 중인 시스템의 데이터베이스를 조사ㆍ분석하여 표준화 관리체계(데이터 표준화 지침 및 가이드 등)를 개선ㆍ정비<br>- 운용 중인 데이터 표준항목(단어, 용어, 도메인, 코드)을 수집 및 분석하여 구축에 적합한 데이터 표준사전 등을 작성<br>※ 공공데이터 공통표준용어(행정안전부)를 준수하고 해당 업무와 관련된 분야별 표준이 있는지 검토 후 반영<br>- 제안사는 발주기관 표준을 준수하고, 표준과 상충되는 요소에 대해서는 발주기관과 협의하여 대응방안을 수립하고 이력을 기록<br>○ 데이터 표준관리 방안<br>- 데이터 표준관리를 위한 표준화 관리방안 (메타데이터 관리시스템 등)을 제시하고 적용<br>- 현재 운영 중인 메타데이터 관리시스템 가이드가 있을 시 참조<br>○ 데이터 요구사항 관련 과업 수행 시, 관련 표준 및 지침 준수<br>- 공공기관의 데이터베이스 표준화 지침 (행정안전부)<br>- 행정기관의 코드 표준화 추진지침 (행정안전부)<br>- 공공데이터 관리지침 (행정안전부)<br>- 공공데이터 개방 표준 (행정안전부)<br>- 공공데이터 공통표준용어 (행정안전부)<br>○ 산출물 중 용어/단어/도메인/코드 정의서는 ‘공공기관의 데이터베이스 표준화 지침(행정안전부)’의 별지 양식에 작성하여 제출</td></tr>
<tr><td colspan=""2"">산출정보</td><td>데이터 표준화 지침 및 표준화 가이드, 용어/단어/도메인/코드 정의서, 범정부 및 기관 데이터 표준 검토 결과서, 데이터 표준관리 방안(매뉴얼, 가이드 등)</td></tr>
</table>",,,3,24,"bm25,rrf",,1,low,데이터베이스,일반적인 SI 수행역량만 부분적으로 관련됨,P0,검색 상위 10,1,2차 전수검증 확정: 일반적인 SI 개발 역량과 부분적으로 연결되나 회사 고유 강점은 약함; 근거=데이터베이스 | 데이터 표준화
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2920,요구사항,,"<table>
<tr><th>구분</th><th>설명</th><th>요구사항<br>개수</th></tr>
<tr><td>기능-SFR<br>(System Functional Requirement)</td><td>목표시스템이 반드시 수행하여야 하거나 목표시스템을 이용하여 사용자가 반드시 할 수 있어야 하는 기능(동작)에 대해 기술</td><td>12</td></tr>
<tr><td>AI보안-ASR<br>(AI Security Requirement)</td><td>인공지능 모델 및 데이터의 신뢰성과 안전성 확보를 위해 학습 데이터의 오염 방지, 모델 역공학 차단, 생성 결과물의 비윤리적·편향적 출력 제어 및 이용자 프라이버시 보호를 위한 요건을 기술</td><td>2</td></tr>
<tr><td>성능-PER<br>(Performance Req.)</td><td>목표시스템의 처리속도 및 시간, 처리량, 동적·정적용량, 가용성 등 성능에 대한 요구사항을 기술</td><td>5</td></tr>
<tr><td>인터페이스-SIR<br>(System Interface Req.)</td><td>목표시스템과 외부에 있는 시스템 연결과 사용자인터페이스에 대한 요건을 기술</td><td>3</td></tr>
<tr><td>데이터 요구사항 - DAR<br>(Data Requirement)</td><td>목표시스템의 서비스에 필요한 초기자료 구축 및 데이터 변환을 위한 대상, 방법, 보안이 필요한 데이터 등 데이터를 구축하기 위해 필요한 요구사항을 기술</td><td>9</td></tr>
<tr><td>테스트-TER<br>(Test Requirement)</td><td>구축된 시스템이 목표대비 제대로 운영되는 가를 테스트하고 점검하기 위한 요건을 기술</td><td>9</td></tr>
<tr><td>보안-SER<br>(Security Requirement)</td><td>정보 자산의 기밀성과 무결성을 위해 목표시스템의 데이터 및 기능, 운영 접근을 통제하기 위한 요건을 기술</td><td>13</td></tr>
<tr><td>품질-QUR<br>(Quality Requirement)</td><td>목표에 적합한 품질 특성들을 정의하고 요건을 기술</td><td>10</td></tr>
<tr><td>제약사항-COR<br>(Constraint Requirement)</td><td>상위 요구사항 외에 시스템을 구축하기 위해 필요한 제약 및 요건을 기술</td><td>10</td></tr>
<tr><td>프로젝트관리-PMR<br>(Project Management Req.)</td><td>사업수행조직, 관리방법론, 일정계획, 요구사항 관리 등을 기술</td><td>20</td></tr>
<tr><td>프로젝트지원-PSR<br>(Project Support Req.)</td><td>프로젝트 수행 및 향후 지원을 위해 필요한 요구사항으로 사업관리, 하자보수, 표준화, 교육지원, 기술지원 요구사항 등을 기술</td><td>10</td></tr>
<tr><td colspan=""2"">요구사항 합계</td><td>103</td></tr>
</table>",,15,8,4,"dense,bm25,rrf",,1,low,인터페이스,일반적인 SI 수행역량만 부분적으로 관련됨,P0,검색 상위 10,0,2차 전수검증 확정: 목차·분류표·이미지 등으로 독립적인 적합성 판단 근거가 부족함; 근거=본문 의미·역할
actual-company-1-search-9,1,{},16,한국어 자연어처리와 공공 정보시스템 구축 경험,3,2990,요구사항,,"<table>
<tr><th colspan=""2"">요구사항 분류</th><th>제약사항</th></tr>
<tr><td colspan=""2"">요구사항 ID</td><td>COR-001</td></tr>
<tr><td colspan=""2"">요구사항 명칭</td><td>시스템 개발 표준 준수</td></tr>
<tr><td rowspan=""2"">요구<br>사항<br>상세<br>설명</td><td>정의</td><td>시스템 구축 시 국가표준 및 정보화 기술지원 기관에서 확정한 개발표준 준수</td></tr>
<tr><td>세부<br>내용</td><td>○ 시스템은 국가표준 및 정보화 기술지원 기관에서 확정한 다음 표준화 내용(지침, 가이드 등)을 준수하여 시스템을 설계, 개발해야 함<br>- 행정기관 및 공공기관 정보시스템 구축·운영 지침 (행정안전부)<br>- 전자정부 웹사이트 품질관리 지침 (행정안전부)<br>- 모바일 전자정부 서비스 관리지침 (행정안전부)<br>- 행정·공공기관 웹사이트 구축·운영 가이드 (행정안전부)<br>- 소프트웨어 개발보안 가이드 (행정안전부)<br>- 시큐어코딩 가이드 (행정안전부)<br>- 소프트웨어 보안약점 진단 가이드 (행정안전부)<br>- CBD SW개발 표준산출물 관리 가이드 (한국정보화진흥원)<br>- 홈페이지 보안 취약점 대응 가이드 (행정안전부)<br>- 홈페이지 S/W(웹) 개발 보안 가이드 (행정안전부)<br>- 홈페이지 개인 정보 노출방지 안내서 (행정안전부)<br>- 전자정부 웹사이트 UI·UX가이드라인 (행정안전부)<br>- 한국형 웹 콘텐츠 접근성 지침 2.1 (국립전파연구원)<br>- 모바일 애플리케이션 콘텐츠 접근성 지침 2.0 (국립전파연구원)<br>- 공공기관의 데이터베이스 표준화 지침 (행정안전부)<br>- 행정기관의 코드 표준화 추진지침 (행정안전부)<br>- 공공데이터 개방 표준 (행정안전부)<br>- 공공데이터 공통표준용어 (행정안전부)<br>- 개인정보 보호법 (개인정보보호위원회)<br>- 개인정보의 기술적·관리적 보호조치 기준 (개인정보보호위원회)<br>- 개인정보의 안전성 확보조치 기준 (개인정보보호위원회)</td></tr>
<tr><td colspan=""2"">산출정보</td><td>단계별 산출물</td></tr>
</table>",,48,4,19,"dense,bm25,rrf",,1,medium,정보시스템 | 시스템 구축 | 데이터베이스,일반적인 SI 수행역량만 부분적으로 관련됨,P0,검색 상위 10,0,2차 전수검증 확정: 일반 보안·품질·성능·사업관리·계약 절차가 중심임; 근거=산출물 관리 | 제약사항
