case_id,company_id,filters_json,bid_notice_id,message,notice_relevance,chunk_id,l_topic,page_no,content,chunk_relevance,dense_rank,bm25_rank,rrf_rank,retrieved_by,notes
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6573,개요,,"1. 과업 내용
2. 제안서 작성요령
3. 제안 안내
4. 제안서 평가 및 협상

5. 입찰 및 제안서 관련 서식
# I. 과업 내용
## 1. 과업의 개요

### 가.과업명

❍ 한국형 위성항법시스템 기반 센티미터급 임무제어국 검증시스템 개발용역",0,2,10,3,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6574,개요,,"### 나. 과업 추진배경 및 목적

❍ 한국해양과학기술원 부설 선박해양플랜트연구소(이하 ‘KRISO’라 함)의 해양PNT통합연구단에서는 해양수산부의 지원으로 “한국형 위성항법시스템 센티미터급 임무제어국 기술개발” 과제를 수행 중임.

❍ 한국형 위성항법시스템 기반 센티미터급 임무제어국 검증시스템 개발 연구를 본 과업을 통해 추진코자 함.

❍ 이를 위하여 KRISO는 설계서(HW/SW) 검토 및 시스템 개발 전문성과 기술력을 갖춘 외부 기관에 의뢰하고자 함

❍ 본 용역 수행은 KRISO와 협의를 거쳐 진행하며, 최종 결과물은 KRISO의 검토 및 승인을 받아야 함.",0,4,8,7,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6575,개요,,"### 다. 과업 내용(요구사항)

❍ 본 과업은 한국형 위성항법시스템 기반 센티미터급 임무제어국 검증시스템 개발 연구에 대해 다룸

  **※ 본 과제는 보안과제로 분류되어 있어, 용역수행을 위한 과업 내용은 현장 설명회를 통해 안내됨.**",0,1,11,6,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6576,개요,,"### 라. 과업기간

❍ 본 과업은 계약일로부터 2027년 10월 31일까지(약 18개월)


### 마. 과업(용역)예산

❍ 예산 : 999,870,000원(부가세 포함)

❍ 대금지급조건 : 계약체결 후 선금 30%, 중도금 30%, 용역 완료시 40%",1,9,4,5,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6577,개요,,"### 바. 계약방법

❍ 입찰공고서에 의함

### 사. 과업심의위원회

❍ 본 사업은 「소프트웨어 진흥법」 제50조에 따른 과업내용 확정을 위하여 과업심의위원회를 개최( √ ) 또는 미개최( ) 한 사업임

❍ 본 사업은 「소프트웨어 진흥법」 제50조, 같은 법 시행령 제47조 제1항 제2호, 제3호에 따른 과업내용 변경 및 그에 따른 계약금액·계약기간 조정이 필요한 경우, 계약상대자는 국가기관 등의 장에게 소프트웨어사업 과업변경요청서※를 제출하여 과업심의위원회 개최를 요청할 수 있으며, 국가기관 등의 장은 과업심의위원회 개최요청에 대해서 특별한 사정이 없으면 수용하여야 함

※「소프트웨어사업 계약 및 관리감독에 관한 지침」별지 13호 서식",0,7,6,8,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6578,요구사항,,"**아. 하도급 및 공동수급**

❍하도급

① 본 사업의 하도급은「소프트웨어 진흥법」제51조 및「하도급거래 공정화에 관한 법률」을 준수하여야 하며, 보안과제 특성상 원칙적으로 하도급을 제한함

② 다만, 사업수행에 필수적인 일부 과업(상용 SW 도입, 보안솔루션 공급 등)에 한하여 발주기관의 사전 서면승인을 받은 경우에 한해 하도급을 허용할 수 있으며, 하도급 금액은「소프트웨어 진흥법」제51조에 따라 사업금액의 50%를 초과할 수 없음

③ 재하도급은「소프트웨어 진흥법」제51조제3항에 따라 일체 금지함

④ 하도급을 통해 사업에 참여하는 모든 인력은 발주기관에 보안서약서를 제출하고 보안교육을 이수하여야 하며,「국가연구개발혁신법」제21조에 따른 보안관리 의무를 동일하게 부담함

⑤ 입찰참여자는 제안서 제출 시 하도급계획서(하도급 대상 과업, 하도급 예정업체, 하도급 비율 등)를 제출하여야 함

⑥ 본 사업에서 전체 사업금액 대비 10%를 초과하여 하도급하려는 경우,「소프트웨어 진흥법」제51조제6항 및 같은 법 시행령 제48조제5항에 따라 하수급인과 공동수급체를 구성하여 참여하여야 함

⑦ 하도급계약 승인 신청 시 제출서류 계약상대자가 하도급계약의 승인을 신청하는 경우, 「소프트웨어사업 계약 및 관리감독에 관한 지침」(과학기술정보통신부고시) 제20조에 따라 다음의 서류를 발주기관에 제출하여야 함

- 하도급 또는 재하도급 계약서안 사본

- 하도급 또는 재하도급 사업 수행 계획서 (하도급 금액 산출 명세서 및 사업 추진 일정표 포함)

-「소프트웨어사업 계약 및 관리감독에 관한 지침」 별지 제8호서식의「하도급계약의 적정성 판단 자기평가표」

⑧ 하도급계약의 적정성 판단 기준 및 절차

가. 발주기관은「소프트웨어사업 계약 및 관리감독에 관한 지침」(별표 3)「하도급계약의 적정성 판단 세부기준」에 따라 적정성 여부를 판단하며, 평가점수가 85점 이상인 경우에 한하여 하도급계약을 승인함

나. 「하도급계약의 적정성 판단 세부기준」(별표 3)의 평가부문은 다음과 같음

- Ⅰ. 자격의 적정성

- Ⅱ. 수행능력의 적정성

- Ⅲ. 계약의 공정성 (하도급금액의 적정성 포함)

- Ⅳ. 기타

※ 평가부문별 세부 평가항목 및 배점은 「소프트웨어사업 계약 및 관리감독에 관한 지침」 (별표 3)을 따름

다. 발주기관은「소프트웨어사업 계약 및 관리감독에 관한 지침」제21조 제3항에 따라 하도급 승인 신청을 받은 날부터 10일 이내에 그 승인 여부를 계약상대자에게 서면(전자문서 포함)으로 통보함

라. 평가점수가 85점 이상인 경우라 하더라도 다음 각 호의 어느 하나에 해당하는 경우에는 그 사유를 기재하여 하도급 승인 거절을 통보할 수 있음

- 하도급 계약의 세부 조건이 본 사업의 보안요구사항을 충족하지 못하는 경우

- 하도급 인력의 보안 적격성이 확인되지 아니한 경우

- 그 밖에 사업의 원활한 수행이 불가능하다고 인정되는 경우

마.「소프트웨어사업 계약 및 관리감독에 관한 지침」 제21조제5항에 따라 하도급 또는 재하도급 계약의 승인이 거절된 경우, 계약상대자는 1회에 한하여 거절통지를 받은 날부터 7일 이내에 관련 서류를 보완하여 하도급 또는 재하도급 계약 승인을 재요청할 수 있음

❍공동수급

① 본 사업은 보안과제로 분류된 사업으로서,「국가를 당사자로 하는 계약에 관한 법률 시행령」 제72조 및 「공동계약운용요령」(기획재정부 계약예규)에 따라 단독계약을 원칙으로 함

② 다만, 사업 수행상 불가피한 경우 발주기관과의 사전 협의를 통하여 공동수급(공동이행방식)을 허용할 수 있으며, 이 경우 공동수급체 구성원 전원은 본 제안요청서에 명시된 보안요구사항을 동일하게 준수하여야 함

③ 공동수급체로 참여하고자 하는 경우, 입찰 시「공동수급협정서」를 제출하여야 하며, 구성원별 분담내용 및 분담비율을 명확히 기재하여야 함

자. SW사업 작업장소(원격개발)

❍ 작업장소 결정 원칙

① 본 사업은 보안과제로 분류된 사업으로서,「소프트웨어 진흥법」제49조제3항 단서 및「소프트웨어사업 계약 및 관리감독에 관한 지침」에 따라 작업장소는 발주기관(KRISO) 내부에서 수행함을 원칙으로 함

② 작업장소(보안구역) 및 기본 설비는 발주기관에서 제공하며, 계약상대자는 사업수행에 필요한 개인용 장비, 개발도구, 라이선스 등 기타 작업환경을 자체적으로 구비하여야 함

③ 작업장소 사용에 따른 인건비 외 별도 임차료는 인정하지 아니하며, 계약상대자는 동 사항을 고려하여 제안가격을 산출하여야 함

❍ 작업장소 보안요구사항

① 작업장소는「국가연구개발혁신법」제21조,「KRISO 연구사업보안 관리지침」,「KRISO 정보보안 기본지침」및 본 제안요청서에 명시된 보안요구사항을 준수하여야 함

② 계약상대자 및 사업참여 인력 전원은 사업 착수 전 보안서약서 제출 및 보안교육을 이수하여야 하며, 보안과제 참여인력으로 등록되어야 함

③ 작업장소는 발주기관의 내부망과 분리된 보안구역으로 운영되며, 인터넷 접속, 외부 자료 반출입, 개인용 정보통신매체(USB, 휴대폰 등) 반입은 발주기관 보안관리담당자의 사전 승인을 받은 경우에 한함

④ 작업장소 출입은 사전 등록된 인력에 한하여 허용하며, 출입이력은 기록·관리됨

❍ 일부 과업의 외부수행 예외

① 사업의 효율적 수행을 위하여 보안성 검토가 완료된 일부 과업

(예: 비보안 영역의 단순 코딩, 문서 작성 등)에 한하여 발주기관의 사전 서면승인을 받은 경우 계약상대자의 사업장에서 수행할 수 있음

② 이 경우 계약상대자는 다음 각 호의 보안요구사항을 충족하여야 함

- 보안 통제가 적용된 별도의 작업공간 확보

- 작업장 출입통제 및 CCTV 보안 운영

- 작업용 PC의 인터넷 분리 또는 DLP(자료유출방지) 솔루션 적용

- 발주기관의 보안점검 수용

③ 발주기관은 계약상대자가 제시한 외부 작업장소가 보안요구사항을 충족하지 못한 경우 이를 거부할 수 있으며, 우대 검토 사항은 아래와 같음

-「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제47조에 따른 정보보호관리체계(ISMS) 인증 보유

-「소프트웨어 진흥법」 제21조에 따른 소프트웨어프로세스 품질인증 (SP인증) 또는 이에 준하는 국내외 인증 보유

- 보안요구사항이 유사한 작업장소에서 SW사업을 차질 없이 수행한 실적 보유",0,5,2,2,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6579,요구사항,,"차. SW사업 산출물 활용 보장

❍ 연구개발성과의 소유

① 본 사업은「국가연구개발혁신법」제2조제1호에 따른 국가연구개발사업 이므로, 본 SW용역을 통하여 창출되는 산출물(소스코드, 설계자료, 문서, 시제품 등 일체)은 같은 법 제16조에 따라 처리됨

② 본 사업의 산출물에 대한 지식재산권은 같은 법 제16조제1항에 따라 주관연구개발기관(KRISO)이 소유함을 원칙으로 하며, 동조 제2항에 따라 계약상대자가 공동연구개발기관으로 협약에 명시된 경우에 한하여 공동소유로 정할 수 있음

③ 본 사업은 보안과제로서 국가안보와 직접 관련된 사업이므로, 같은 법 제16조제3항에 따라 연구개발성과의 일부 또는 전부의 소유를 국가에 둘 수 있으며, 그 세부사항은 협약 체결 시 정함

④ 산출물의 소유 및 활용에 관한 세부사항은 협약서 및「국가연구개발 혁신법 시행령」 제33조에서 정한 바에 따름

❍ 산출물 활용 제한 및 반출 절차

① 본 사업의 산출물은 「국가연구개발혁신법」 제17조제2항 단서 및 같은 법 제21조에 따라 보안과제 산출물로 분류되어 대외 공개가 제한됨

② 계약상대자가 본 사업 산출물을 자체 활용하거나 제3자에게 제공하고자 하는 경우에는 사전에 발주기관(주관연구개발기관)의 서면승인을 받아야 하며, 다음 각 호의 사항이 포함된 활용계획서를 제출하여야 함

- 활용 목적 및 범위

- 활용 대상자

- 누출금지정보 삭제 여부

- 보안관리 방안

③ 발주기관은 다음 각 호의 어느 하나에 해당하지 않는 경우에 한하여 산출물 활용을 승인할 수 있음

-「보안업무규정」제4조에 따른 비밀에 해당하는 정보

- 본 제안요청서 및 협약서에 명시된 누출금지정보

-「산업기술의 유출방지 및 보호에 관한 법률」제2조에 따른 국가핵심기술·산업기술

-「국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법」제2조에 따른 국가첨단전략기술

④ 활용이 승인된 경우에도 계약상대자는 다음 사항을 준수하여야 함

- 누출금지정보를 삭제하고 활용할 것

- 누출금지정보 삭제 사실을 확인하는 계약상대자 대표명의의 확약서를 발주기관에 제출할 것

- 활용 종료 후 보유 산출물의 폐기 및 폐기확인서 제출

❍ 의무 위반 시 제재

① 계약상대자가 본 조에서 정한 의무를 위반하여 산출물을 무단으로 유출 또는 누출하거나, 누출금지정보를 삭제하지 아니하고 활용한 경우 다음의 제재를 받을 수 있음

-「국가연구개발혁신법」제32조에 따른 국가연구개발활동 참여제한

-「국가연구개발혁신법」제33조에 따른 제재부가금 부과

-「공공기관의 운영에 관한 법률」 제39조 및 「공기업·준정부기관 계약사무규칙」 제15조에 따른 입찰참가자격 제한

-「국가계약법」 제27조 및 같은 법 시행령 제76조에 따른 부정당업자 입찰참가자격 제한

②「국가연구개발혁신법」 제40조 및 제41조에 따라 비밀유지 의무 위반 시 형사처벌(2년 이하 징역 또는 2천만원 이하 벌금) 대상이 될 수 있음",0,8,5,10,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6580,요구사항,,"**카. 개발 SW의 공동 활용 사전 명시**

❍ 본 사업을 통해 개발되는 소프트웨어는「국가연구개발혁신법」제17조 및 같은 법 시행령 제35조에 따른 연구개발성과 공동활용 대상이며, 본 사업이 보안과제로 분류된 점을 고려하여 같은 법 제17조제2항 단서에 따라 대외 공개 및 타 기관과의 공동활용 계획은 없음. 다만, 사업 종료 후 보안성 검토를 거쳐 공동활용 여부를 별도 결정할 수 있음",0,3,9,9,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6581,요구사항,,"**타. 하자담보 책임기간 및 범위**

❍ 하자담보 책임 근거

- 본 사업의 하자담보책임은「소프트웨어 진흥법」 제60조 및「(계약예규) 용역계약일반조건」 제58조에 따름

❍ 하자담보 책임기간

① 계약상대자는 본 사업이 종료한 날(사업에 대한 시험 및 검사를 수행하여 최종산출물을 인도한 날을 말함)로부터 1년간 계약목적물의 하자에 대한 보수책임이 있음

② 하자담보 책임기간은「소프트웨어 진흥법」제60조에 따라 1년을 초과하여 정하지 아니함

❍ 하자담보 책임 범위

① 계약상대자는 하자담보 책임기간 내에 다음 각 호에 해당하는 하자가 발생하여 발주기관이 하자보수를 요청한 경우 무상으로 이를 조치하여야 함

- 사업수행 결과물(소프트웨어, 산출물 등)의 결함으로 인한 오작동, 성능 저하, 기능 미구현 등

- 제안서 및 사업수행계획서에 명시된 요구사항 미충족

- 본 사업의 인수·검사 시 발견되지 못한 잠재적 결함

② 하자보수는 결함의 원인 분석, 수정, 재시험, 운영환경 적용까지의 일체의 작업을 포함함

❍ 하자담보 책임 면책사유

① 계약상대자는「소프트웨어 진흥법」제60조제2항 및「(계약예규) 용역계약일반조건」 제58조제2항에 따라 다음 각 호의 어느 하나에 해당하는 사유로 발생한 하자에 대해서는 담보책임이 없음. 다만, 계약상대자가 다음 각 호의 사유가 적절하지 아니하다는 것을 알고도 발주기관에 알리지 아니한 경우에는 그러하지 아니함

- 발주기관이 제공한 물품 또는 자료의 품질·규격 등이 기준에 맞지 아니한 경우

- 발주기관의 지시에 따라 정보시스템을 구축한 경우

- 천재지변, 전쟁, 폭동 등 불가항력으로 인한 경우

- 계약상대자의 책임 없는 사유로 발생한 경우

❍ 하자담보 범위에서 제외되는 사항(유상 처리 대상)

① 다음 각 호의 사항은 하자담보 책임 범위에 포함되지 아니하며, 발주기관이 별도로 요청할 경우 유상 유지보수 또는 재개발 계약을 통하여 처리함

- 사업종료 후 새로 추가되거나 변경되는 기능의 개발

- 법령, 정책, 제도의 변경에 따른 시스템 수정

- 운영환경(OS, DB, 미들웨어 등)의 신규 도입 또는 업그레이드에 따른 호환성 작업

- 발주기관이 사업종료 후 변경한 보안요구사항 반영

- 사업범위에 포함되지 아니한 추가 요구사항

- 사업종료 후 발주기관 또는 제3자의 임의 변경으로 인하여 발생한 오류

- 정기 운영지원, 인력 상주, 모니터링 등 유지관리 성격의 업무

❍ 하자보수 절차

① 발주기관은 하자 발생을 인지한 경우 계약상대자에게 서면으로 하자보수를 요청함

② 계약상대자는 하자보수 요청을 받은 날부터 7일 이내에 하자보수 계획을 수립하여 발주기관에 제출하고, 합의된 일정에 따라 하자를 조치하여야 함

③ 보안과제 특성상 하자보수를 위한 산출물·코드 접근, 작업장소, 인력 출입 등은 본 제안요청서 「자. SW사업 작업장소」에서 정한 보안요구사항에 따라 수행되어야 함",0,11,7,11,"dense,bm25,rrf",
case-001-1000,2,{},41,AI 플랫폼과 데이터 분석 경험을 우선,0,6586,요구사항,,"**너. 투입인력 요구․관리 금지**

❍ 본 사업의 사업대가 산정 방식

① 본 사업의 사업대가는「소프트웨어 진흥법」 제46조 및 「SW사업 대가 산정 가이드」(한국소프트웨어산업협회)에 따라 기능점수(FP) 방식으로 산정한 소프트웨어 개발사업임

- 총기능점수: 1,369.8 FP

- 기능점수당 단가: 605,784원 (2026년 적용 SW기술자 평균임금 기준)

- 보정 후 개발원가: 867,482,323원

- SW개발비(부가세 별도): 998,684,672원

② 원가산출내역서상 표기되는 직접인건비·제경비·기술료 등은 위에 따라 산정된 사업금액을 회계 항목별로 분배·표시한 것으로, 사업대가 산정 방식이 투입공수 방식임을 의미하지 아니함

❍ 투입인력 요구·관리 금지

본 사업은 기능점수(FP) 방식으로 산정한 사업이므로,「소프트웨어사업 계약 및 관리감독에 관한 지침」(과학기술정보통신부고시) 제11조제3항에 따라 발주기관은 제안요청서 및 사업수행 과정에서 다음 각 호의 사항을 요구·관리하지 아니함

- 투입인력의 수

- 투입인력의 인적사항(학력, 자격증, 경력증명서, 이력서 등)

- 투입인력의 투입기간

- 투입인력의 경력 요건

- 투입인력의 출퇴근 등 근무상태 관리

- 투입인력 교체 시 발주기관의 사전 승인

❍ 보안관리 사항 (별개)

다만, 본 사업의 보안과제 특성상 다음 사항은 보안관리 목적으로 별도로 시행되며, 이는 「투입인력 요구·관리 금지」와는 별개의 사항임

- 사업참여 인력의 보안서약서 제출 및 보안교육 이수

- 사업참여 인력의 보안과제 등록 및 출입 관리

- 보안사고 발생 시 책임소재 확인을 위한 인력 정보 관리",0,10,3,4,"dense,bm25,rrf",
